euclDist=3.106;onlinePos=-23.90,-09.65;estimatedPos=-20.80,-10.00
euclDist=1.077;onlinePos=-23.00,-10.55;estimatedPos=-22.00,-10.15
euclDist=1.044;onlinePos=-19.65,-10.70;estimatedPos=-20.20,-10.00
euclDist=2.758;onlinePos=-17.35,-11.20;estimatedPos=-14.95,-10.15
euclDist=3.409;onlinePos=-15.50,-09.60;estimatedPos=-13.90,-10.00
euclDist=1.278;onlinePos=-12.90,-10.50;estimatedPos=-11.80,-09.85
euclDist=1.014;onlinePos=-10.55,-09.90;estimatedPos=-09.85,-09.85
euclDist=1.581;onlinePos=-09.20,-10.75;estimatedPos=-07.90,-09.85
euclDist=2.082;onlinePos=-06.35,-10.20;estimatedPos=-04.45,-11.05
euclDist=1.736;onlinePos=-04.10,-09.90;estimatedPos=-02.80,-10.30
euclDist=2.658;onlinePos=-02.05,-11.10;estimatedPos=-01.15,-08.65
euclDist=3.261;onlinePos=-00.95,-09.95;estimatedPos=01.70,-08.50
euclDist=3.309;onlinePos=00.85,-18.55;estimatedPos=01.10,-15.25
euclDist=3.247;onlinePos=01.15,-15.15;estimatedPos=01.70,-11.95
euclDist=3.125;onlinePos=00.75,-13.05;estimatedPos=01.70,-10.00
euclDist=2.704;onlinePos=01.55,-11.95;estimatedPos=01.70,-09.25
euclDist=2.968;onlinePos=01.20,-09.05;estimatedPos=01.40,-06.10
euclDist=1.301;onlinePos=01.65,-06.30;estimatedPos=01.55,-05.80
euclDist=1.833;onlinePos=01.20,-03.70;estimatedPos=01.25,-05.50
euclDist=2.239;onlinePos=01.85,-02.25;estimatedPos=00.95,-04.30
euclDist=1.180;onlinePos=01.71,01.81;estimatedPos=01.10,01.55
euclDist=2.992;onlinePos=02.02,07.45;estimatedPos=03.20,04.70
euclDist=1.939;onlinePos=02.49,07.60;estimatedPos=02.60,05.90
euclDist=5.331;onlinePos=01.52,09.32;estimatedPos=02.60,04.10
euclDist=4.872;onlinePos=00.78,10.94;estimatedPos=02.30,06.20
euclDist=2.288;onlinePos=01.39,06.61;estimatedPos=02.90,05.00
euclDist=3.210;onlinePos=04.51,07.63;estimatedPos=03.20,04.70
euclDist=4.077;onlinePos=06.00,07.88;estimatedPos=04.10,04.55
euclDist=3.015;onlinePos=09.08,07.24;estimatedPos=06.65,06.20
euclDist=5.799;onlinePos=10.62,03.87;estimatedPos=05.00,05.30
euclDist=7.230;onlinePos=10.99,07.19;estimatedPos=04.10,05.00
euclDist=4.707;onlinePos=11.76,07.76;estimatedPos=07.10,06.50
euclDist=4.884;onlinePos=11.39,05.00;estimatedPos=06.65,05.30
euclDist=6.355;onlinePos=12.95,05.25;estimatedPos=06.65,06.20
euclDist=10.162;onlinePos=13.46,07.85;estimatedPos=03.80,04.70
euclDist=7.261;onlinePos=14.98,07.55;estimatedPos=08.00,05.60
euclDist=1.902;onlinePos=21.45,06.62;estimatedPos=23.00,05.75
euclDist=2.364;onlinePos=21.84,05.16;estimatedPos=24.20,05.60
euclDist=2.194;onlinePos=22.38,03.94;estimatedPos=23.15,05.45
euclDist=2.064;onlinePos=22.30,06.36;estimatedPos=23.45,05.60
euclDist=1.663;onlinePos=28.12,07.57;estimatedPos=26.75,06.50
euclDist=3.613;onlinePos=31.78,07.62;estimatedPos=28.40,06.35
euclDist=3.804;onlinePos=32.16,07.08;estimatedPos=28.40,06.35
euclDist=5.071;onlinePos=32.68,03.48;estimatedPos=28.40,06.20
euclDist=1.287;onlinePos=23.50,04.22;estimatedPos=24.05,05.30
euclDist=3.183;onlinePos=25.23,07.78;estimatedPos=23.45,05.30
