euclDist=5.022;onlinePos=-23.90,-09.65;estimatedPos=-19.00,-10.54
euclDist=2.084;onlinePos=-23.00,-10.55;estimatedPos=-20.93,-10.32
euclDist=0.740;onlinePos=-19.65,-10.70;estimatedPos=-19.32,-10.54
euclDist=1.752;onlinePos=-17.35,-11.20;estimatedPos=-16.64,-10.54
euclDist=1.916;onlinePos=-15.50,-09.60;estimatedPos=-16.75,-10.75
euclDist=1.172;onlinePos=-12.90,-10.50;estimatedPos=-14.07,-10.54
euclDist=1.275;onlinePos=-10.55,-09.90;estimatedPos=-11.50,-10.64
euclDist=1.671;onlinePos=-09.20,-10.75;estimatedPos=-10.86,-10.54
euclDist=3.872;onlinePos=-06.35,-10.20;estimatedPos=-10.21,-10.54
euclDist=2.088;onlinePos=-04.10,-09.90;estimatedPos=-06.14,-10.32
euclDist=6.103;onlinePos=-02.05,-11.10;estimatedPos=-08.07,-10.11
euclDist=8.301;onlinePos=-00.95,-09.95;estimatedPos=-09.25,-10.32
euclDist=10.652;onlinePos=00.85,-18.55;estimatedPos=-06.04,-10.54
euclDist=8.602;onlinePos=01.15,-15.15;estimatedPos=-05.93,-10.43
euclDist=6.863;onlinePos=00.75,-13.05;estimatedPos=-05.50,-10.32
euclDist=1.993;onlinePos=01.55,-11.95;estimatedPos=00.07,-12.46
euclDist=5.928;onlinePos=01.20,-09.05;estimatedPos=-04.43,-10.32
euclDist=7.061;onlinePos=01.65,-06.30;estimatedPos=-04.43,-09.89
euclDist=9.451;onlinePos=01.20,-03.70;estimatedPos=-05.82,-10.00
euclDist=10.471;onlinePos=01.85,-02.25;estimatedPos=-05.07,-09.89
euclDist=4.718;onlinePos=01.71,01.81;estimatedPos=01.57,06.50
euclDist=2.229;onlinePos=02.02,07.45;estimatedPos=01.14,08.11
euclDist=3.221;onlinePos=02.49,07.60;estimatedPos=01.14,10.57
euclDist=1.307;onlinePos=01.52,09.32;estimatedPos=01.14,10.57
euclDist=0.982;onlinePos=00.78,10.94;estimatedPos=01.25,10.57
euclDist=0.845;onlinePos=01.39,06.61;estimatedPos=01.68,07.36
euclDist=3.526;onlinePos=04.51,07.63;estimatedPos=08.00,08.11
euclDist=2.908;onlinePos=06.00,07.88;estimatedPos=08.75,07.25
euclDist=2.902;onlinePos=09.08,07.24;estimatedPos=08.32,04.79
euclDist=2.957;onlinePos=10.62,03.87;estimatedPos=11.00,06.71
euclDist=2.941;onlinePos=10.99,07.19;estimatedPos=09.29,05.43
euclDist=4.762;onlinePos=11.76,07.76;estimatedPos=08.43,04.36
euclDist=1.658;onlinePos=11.39,05.00;estimatedPos=11.54,05.00
euclDist=3.771;onlinePos=12.95,05.25;estimatedPos=09.29,04.68
euclDist=2.853;onlinePos=13.46,07.85;estimatedPos=11.86,05.54
euclDist=4.500;onlinePos=14.98,07.55;estimatedPos=11.21,05.43
euclDist=5.078;onlinePos=21.45,06.62;estimatedPos=17.00,03.71
euclDist=4.527;onlinePos=21.84,05.16;estimatedPos=17.43,03.93
euclDist=3.361;onlinePos=22.38,03.94;estimatedPos=19.04,03.71
euclDist=8.198;onlinePos=22.30,06.36;estimatedPos=14.32,03.93
euclDist=7.596;onlinePos=28.12,07.57;estimatedPos=20.54,07.14
euclDist=4.287;onlinePos=31.78,07.62;estimatedPos=28.57,05.00
euclDist=5.407;onlinePos=32.16,07.08;estimatedPos=27.93,04.14
euclDist=3.783;onlinePos=32.68,03.48;estimatedPos=29.00,04.36
euclDist=6.540;onlinePos=23.50,04.22;estimatedPos=17.00,03.50
euclDist=6.031;onlinePos=25.23,07.78;estimatedPos=20.43,04.14
