-23.5, -10.75, 0.0, 00:14:BF:B1:7C:54, 7.85, -64.32979877785037, 00:16:B6:B7:5D:8F, 15.01, -73.94340064010768, 00:14:BF:B1:7C:57, 32.33, -85.32303481248465, 00:14:BF:B1:97:8D, 32.07, -85.20327948155625, 00:16:B6:B7:5D:9B, 23.01, -80.27945252753418, 00:14:6C:62:CA:A4, 29.39, -83.90901586437971, 00:14:BF:3B:C7:C6, 37.7, -87.60205710952783, 00:14:BF:B1:97:8A, 45.39, -90.35519024066829, 00:14:BF:B1:97:81, 56.48, -93.59720359669397, 00:16:B6:B7:5D:8C, 61.24, -94.79725146619552, 00:11:88:28:5E:E0, 34.93, -86.47023169952564, 
-22.0, -10.75, 0.0, 00:14:BF:B1:7C:54, 8.01, -64.62905042427673, 00:16:B6:B7:5D:8F, 13.76, -72.65381951766767, 00:14:BF:B1:7C:57, 30.84, -84.6232557142901, 00:14:BF:B1:97:8D, 30.57, -84.49283923249592, 00:16:B6:B7:5D:9B, 21.61, -79.3484602890627, 00:14:6C:62:CA:A4, 27.99, -83.18514898261944, 00:14:BF:3B:C7:C6, 36.24, -87.01627665451308, 00:14:BF:B1:97:8A, 43.92, -89.8669186187455, 00:14:BF:B1:97:81, 54.99, -93.20068902713618, 00:16:B6:B7:5D:8C, 59.87, -94.46169616567514, 00:11:88:28:5E:E0, 33.62, -85.90331176588289, 
-20.5, -10.75, 0.0, 00:14:BF:B1:7C:54, 8.45, -65.42215661063199, 00:16:B6:B7:5D:8F, 12.55, -71.2886832366525, 00:14:BF:B1:7C:57, 29.35, -83.88881680568107, 00:14:BF:B1:97:8D, 29.07, -83.7466478349601, 00:16:B6:B7:5D:9B, 20.22, -78.36242631535765, 00:14:6C:62:CA:A4, 26.6, -82.42970789095094, 00:14:BF:3B:C7:C6, 34.78, -86.4064050773176, 00:14:BF:B1:97:8A, 42.44, -89.3585290640807, 00:14:BF:B1:97:81, 53.51, -92.7960535757708, 00:16:B6:B7:5D:8C, 58.5, -94.11837282670646, 00:11:88:28:5E:E0, 32.33, -85.32303481248465, 
-19.0, -10.75, 0.0, 00:14:BF:B1:7C:54, 9.11, -66.53755257362789, 00:16:B6:B7:5D:8F, 11.42, -69.88929744852067, 00:14:BF:B1:7C:57, 27.87, -83.12142748155934, 00:14:BF:B1:97:8D, 27.58, -82.96629404183022, 00:16:B6:B7:5D:9B, 18.85, -77.32188275760288, 00:14:6C:62:CA:A4, 25.23, -81.64547410517517, 00:14:BF:3B:C7:C6, 33.32, -85.77037550189172, 00:14:BF:B1:97:8A, 40.97, -88.8357126689998, 00:14:BF:B1:97:81, 52.03, -92.38006815434966, 00:16:B6:B7:5D:8C, 57.14, -93.76950906099563, 00:11:88:28:5E:E0, 31.05, -84.72390379410525, 
-17.5, -10.75, 0.0, 00:14:BF:B1:7C:54, 9.95, -67.84565820746653, 00:16:B6:B7:5D:8F, 10.38, -68.47313962244979, 00:14:BF:B1:7C:57, 26.38, -82.30653411983334, 00:14:BF:B1:97:8D, 26.08, -82.13690409809499, 00:16:B6:B7:5D:9B, 17.51, -76.22822188874969, 00:14:6C:62:CA:A4, 23.86, -80.81744550326714, 00:14:BF:3B:C7:C6, 31.87, -85.11049746762797, 00:14:BF:B1:97:8A, 39.5, -88.2937908156436, 00:14:BF:B1:97:81, 50.54, -91.94914336349004, 00:16:B6:B7:5D:8C, 55.79, -93.41489974216411, 00:11:88:28:5E:E0, 29.8, -84.11448541820411, 
-16.0, -10.75, 0.0, 00:14:BF:B1:7C:54, 10.94, -69.25244154621163, 00:16:B6:B7:5D:8F, 9.47, -67.11235178296178, 00:14:BF:B1:7C:57, 24.9, -81.45020770331939, 00:14:BF:B1:97:8D, 24.58, -81.25837115249738, 00:16:B6:B7:5D:9B, 16.19, -75.06577988492772, 00:14:6C:62:CA:A4, 22.52, -79.96021038802338, 00:14:BF:3B:C7:C6, 30.42, -84.41988701183486, 00:14:BF:B1:97:8A, 38.03, -87.73131401280554, 00:14:BF:B1:97:81, 49.06, -91.50834562317303, 00:16:B6:B7:5D:8C, 54.45, -93.05432774173477, 00:11:88:28:5E:E0, 28.58, -83.49452496513659, 
-14.5, -10.75, 0.0, 00:14:BF:B1:7C:54, 12.04, -70.67339452837967, 00:16:B6:B7:5D:8F, 8.72, -65.88863796044717, 00:14:BF:B1:7C:57, 23.42, -80.54139231864616, 00:14:BF:B1:97:8D, 23.08, -80.32450272311814, 00:16:B6:B7:5D:9B, 14.9, -73.83431106627916, 00:14:6C:62:CA:A4, 21.2, -79.06436965071686, 00:14:BF:3B:C7:C6, 28.98, -83.70065971576557, 00:14:BF:B1:97:8A, 36.57, -87.15071739554422, 00:14:BF:B1:97:81, 47.59, -91.05716131887758, 00:16:B6:B7:5D:8C, 53.12, -92.68756296619267, 00:11:88:28:5E:E0, 27.38, -82.85835210570072, 
-13.0, -10.75, 0.0, 00:14:BF:B1:7C:54, 13.21, -72.0488312215361, 00:16:B6:B7:5D:8F, 8.18, -64.94052532037568, 00:14:BF:B1:7C:57, 21.94, -79.57323068360134, 00:14:BF:B1:97:8D, 21.59, -79.33472773571398, 00:16:B6:B7:5D:9B, 13.66, -72.54564138264931, 00:14:6C:62:CA:A4, 19.9, -78.12583255939148, 00:14:BF:3B:C7:C6, 27.54, -82.9447684116989, 00:14:BF:B1:97:8A, 35.11, -86.54646282624174, 00:14:BF:B1:97:81, 46.11, -90.58860342379276, 00:16:B6:B7:5D:8C, 51.79, -92.31149786126107, 00:11:88:28:5E:E0, 26.21, -82.2106487653264, 
-11.5, -10.75, 0.0, 00:14:BF:B1:7C:54, 14.44, -73.36921964892812, 00:16:B6:B7:5D:8F, 7.89, -64.4051796596017, 00:14:BF:B1:7C:57, 20.47, -78.54467432692456, 00:14:BF:B1:97:8D, 20.09, -78.26676483995271, 00:16:B6:B7:5D:9B, 12.47, -71.19383938629224, 00:14:6C:62:CA:A4, 18.63, -77.1477689947067, 00:14:BF:3B:C7:C6, 26.11, -82.15395467275356, 00:14:BF:B1:97:8A, 33.65, -85.91654009132385, 00:14:BF:B1:97:81, 44.63, -90.10475818560408, 00:16:B6:B7:5D:8C, 50.48, -91.93152567396206, 00:11:88:28:5E:E0, 25.07, -81.5511205046731, 
-10.0, -10.75, 0.0, 00:14:BF:B1:7C:54, 15.72, -74.62885429917074, 00:16:B6:B7:5D:8F, 7.88, -64.38637032726831, 00:14:BF:B1:7C:57, 18.99, -77.43162754576915, 00:14:BF:B1:97:8D, 18.59, -77.11589116071033, 00:16:B6:B7:5D:9B, 11.36, -69.81117001645626, 00:14:6C:62:CA:A4, 17.4, -76.13475682885078, 00:14:BF:3B:C7:C6, 24.69, -81.32459522117549, 00:14:BF:B1:97:8A, 32.2, -85.26327801841262, 00:14:BF:B1:97:81, 43.16, -89.6080310397713, 00:16:B6:B7:5D:8C, 49.17, -91.54156211310902, 00:11:88:28:5E:E0, 23.98, -80.89184945475066, 
-8.5, -10.75, 0.0, 00:14:BF:B1:7C:54, 17.04, -75.82468651320778, 00:16:B6:B7:5D:8F, 8.15, -64.8860323384702, 00:14:BF:B1:7C:57, 17.53, -76.24515243460311, 00:14:BF:B1:97:8D, 17.1, -75.87681716989206, 00:16:B6:B7:5D:9B, 10.35, -68.43021294542879, 00:14:6C:62:CA:A4, 16.21, -75.08408995707678, 00:14:BF:3B:C7:C6, 23.27, -80.44609648924182, 00:14:BF:B1:97:8A, 30.75, -84.57991085180552, 00:14:BF:B1:97:81, 41.68, -89.09053130645364, 00:16:B6:B7:5D:8C, 47.88, -91.14726394022884, 00:11:88:28:5E:E0, 22.93, -80.22779846902742, 
