euclDist=1.170;onlinePos=-23.90,-09.65;estimatedPos=-23.50,-10.75
euclDist=1.393;onlinePos=-23.00,-10.55;estimatedPos=-23.50,-09.25
euclDist=5.350;onlinePos=-19.65,-10.70;estimatedPos=-14.50,-09.25
euclDist=1.423;onlinePos=-17.35,-11.20;estimatedPos=-16.00,-10.75
euclDist=1.524;onlinePos=-15.50,-09.60;estimatedPos=-14.50,-10.75
euclDist=4.407;onlinePos=-12.90,-10.50;estimatedPos=-08.50,-10.75
euclDist=2.219;onlinePos=-10.55,-09.90;estimatedPos=-08.50,-10.75
euclDist=2.746;onlinePos=-09.20,-10.75;estimatedPos=-11.50,-09.25
euclDist=2.219;onlinePos=-06.35,-10.20;estimatedPos=-08.50,-10.75
euclDist=1.727;onlinePos=-04.10,-09.90;estimatedPos=-02.50,-09.25
euclDist=1.981;onlinePos=-02.05,-11.10;estimatedPos=-04.00,-10.75
euclDist=0.802;onlinePos=-00.95,-09.95;estimatedPos=-01.00,-10.75
euclDist=1.834;onlinePos=00.85,-18.55;estimatedPos=00.50,-16.75
euclDist=3.167;onlinePos=01.15,-15.15;estimatedPos=00.50,-18.25
euclDist=2.530;onlinePos=00.75,-13.05;estimatedPos=02.00,-15.25
euclDist=5.796;onlinePos=01.55,-11.95;estimatedPos=00.50,-06.25
euclDist=5.842;onlinePos=01.20,-09.05;estimatedPos=00.50,-03.25
euclDist=3.070;onlinePos=01.65,-06.30;estimatedPos=02.00,-03.25
euclDist=2.673;onlinePos=01.20,-03.70;estimatedPos=02.00,-06.25
euclDist=1.440;onlinePos=01.85,-02.25;estimatedPos=00.50,-01.75
euclDist=2.079;onlinePos=01.71,01.81;estimatedPos=00.50,03.50
euclDist=1.616;onlinePos=02.02,07.45;estimatedPos=00.50,08.00
euclDist=3.435;onlinePos=02.49,07.60;estimatedPos=02.00,11.00
euclDist=1.965;onlinePos=01.52,09.32;estimatedPos=00.50,11.00
euclDist=1.221;onlinePos=00.78,10.94;estimatedPos=02.00,11.00
euclDist=0.897;onlinePos=01.39,06.61;estimatedPos=00.50,06.50
euclDist=6.501;onlinePos=04.51,07.63;estimatedPos=11.00,08.00
euclDist=6.501;onlinePos=06.00,07.88;estimatedPos=12.50,08.00
euclDist=2.279;onlinePos=09.08,07.24;estimatedPos=09.50,05.00
euclDist=1.192;onlinePos=10.62,03.87;estimatedPos=11.00,05.00
euclDist=1.714;onlinePos=10.99,07.19;estimatedPos=12.50,08.00
euclDist=3.567;onlinePos=11.76,07.76;estimatedPos=09.50,05.00
euclDist=1.550;onlinePos=11.39,05.00;estimatedPos=11.00,06.50
euclDist=3.459;onlinePos=12.95,05.25;estimatedPos=09.50,05.00
euclDist=0.972;onlinePos=13.46,07.85;estimatedPos=12.50,08.00
euclDist=0.688;onlinePos=14.98,07.55;estimatedPos=15.50,08.00
euclDist=3.120;onlinePos=21.45,06.62;estimatedPos=21.50,03.50
euclDist=2.025;onlinePos=21.84,05.16;estimatedPos=23.00,03.50
euclDist=2.634;onlinePos=22.38,03.94;estimatedPos=23.00,06.50
euclDist=0.812;onlinePos=22.30,06.36;estimatedPos=21.50,06.50
euclDist=2.163;onlinePos=28.12,07.57;estimatedPos=26.00,08.00
euclDist=1.335;onlinePos=31.78,07.62;estimatedPos=30.50,08.00
euclDist=32.337;onlinePos=32.16,07.08;estimatedPos=00.50,00.50
euclDist=0.680;onlinePos=32.68,03.48;estimatedPos=32.00,03.50
euclDist=0.877;onlinePos=23.50,04.22;estimatedPos=23.00,03.50
euclDist=2.241;onlinePos=25.23,07.78;estimatedPos=23.00,08.00
